"name", "region", "exposed", "generationTime", "sensitivity", "migration"
"Aeshnidae", "United Kingdom", "1", "1.84545", "-0.95986", "0"
"Aeshnidae", "Eurasia", "1", "1.93636", "-0.95986", "0"
"Aeshnidae", "United Kingdom", "1", "1", "-0.95986", "0"
"Aeshnidae sp.", "Eurasia", "1", "2", "-0.95986", "0"
"Aeshnidae sp.", "United Kingdom", "1", "1", "-0.95986", "0"
"Aethaloptera", "West Siberia", "1", "1", "-0.5", "0"
"Aethaloptera evanescens", "West Siberia", "1", "1", "-0.5", "0"
"Agabus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus affinis", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus arcticus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus biguttatus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus bipustulatus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus chalconatus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus congener", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus conspersus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus didymus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus guttatus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus labiatus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus melanarius", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus melanocornis", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus nebulosus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus neglectus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus obscurus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus paludosus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus sp.", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus sturmi", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus subtilis", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus uliginosus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus undulatus", "Eurasia", "1", "1", "-0.80728", "0"
"Agabus unguicularis", "Eurasia", "1", "1", "-0.80728", "0"
"Agapetus", "United Kingdom", "1", "0.5", "-0.05811", "0"
"Agapetus", "Eurasia", "1", "0.625", "-0.05811", "0"
"Agapetus delicatulus", "United Kingdom", "1", "0.5", "-0.05811", "0"
"Agapetus fuscipes", "Eurasia", "1", "0.5", "-0.05811", "0"
"Agapetus ochripes", "United Kingdom", "1", "0.5", "-0.05811", "0"
"Agapetus sp.", "United Kingdom", "1", "0.5", "-0.05811", "0"
"Agapetus sp.", "Eurasia", "1", "0.75", "-0.05811", "0"
"Agraylea", "Eurasia", "1", "1", "-0.05811", "0"
"Agraylea multipunctata", "Eurasia", "1", "1", "-0.05811", "0"
"Agraylea sexmaculata", "Eurasia", "1", "1", "-0.05811", "0"
"Agraylea sp.", "Eurasia", "1", "1", "-0.05811", "0"
"Agrypnia", "Eurasia", "1", "1", "-0.05811", "0"
"Agrypnia obsoleta", "Eurasia", "1", "1", "-0.05811", "0"
"Agrypnia pagetana", "Eurasia", "1", "1", "-0.05811", "0"
"Agrypnia sp.", "Eurasia", "1", "1", "-0.05811", "0"
"Agrypnia varia", "Eurasia", "1", "1", "-0.05811", "0"
"Alboglossiphonia", "Eurasia", "1", "1", "-0.59591", "0"
"Alboglossiphonia heteroclita", "Eurasia", "1", "1", "-0.59591", "0"
"Allogamus", "Eurasia", "1", "1", "-0.05811", "0"
"Allogamus auricollis", "Eurasia", "1", "1", "-0.05811", "0"
"Allogamus sp.", "Eurasia", "1", "1", "-0.05811", "0"
"Allogamus uncatus", "Eurasia", "1", "1", "-0.05811", "0"
"Allomyia", "West Siberia", "1", "2", "-0.05811", "0"
"Allomyia sajanensis", "West Siberia", "1", "2", "-0.05811", "0"
"Allotrichia", "United Kingdom", "1", "0.64583", "-0.05811", "0"
"Allotrichia pallicornis", "United Kingdom", "1", "0.64583", "-0.05811", "0"
"Ameletidae", "Eurasia", "1", "1", "-0.29501", "0"
"Ameletus", "Eurasia", "1", "1", "-0.29501", "0"
"Ameletus inopinatus", "Eurasia", "1", "1", "-0.29501", "0"
"Ameletus sp.", "West Siberia", "1", "1", "-0.29501", "0"
"Ampharetidae", "Eurasia", "1", "0.5", "-1.1", "0"
"Amphinemura", "Eurasia", "1", "1", "0.24869", "0"
"Amphinemura sp.", "Eurasia", "1", "1", "0.24869", "0"
"Amphinemura standfussi", "United Kingdom", "1", "1", "0.24869", "0"
"Amphinemura standfussi", "West Siberia", "1", "1", "0.24869", "0"
"Amphinemura sulcicollis", "Eurasia", "1", "1", "0.24869", "0"
"Amphipoda", "United Kingdom", "1", "0.48947", "0.16215", "0"
"Amphipoda", "Eurasia", "1", "0.52895", "0.16215", "0"
"Anabolia", "Eurasia", "1", "1", "-0.05811", "1"
"Anabolia", "Finland", "1", "1", "-0.05811", "0"
"Anabolia", "West Siberia", "1", "0.98841", "-0.05811", "0"
"Anabolia furcata", "West Siberia", "1", "0.97681", "-0.05811", "0"
"Anabolia nervosa", "Eurasia", "1", "1", "-0.05811", "1"
"Anabolia sp.", "Finland", "1", "1", "-0.05811", "0"
"Anacaena", "Eurasia", "1", "1", "-0.89278", "0"
"Anacaena bipustulata", "Eurasia", "1", "1", "-0.89278", "0"
"Anacaena globulus", "Eurasia", "1", "1", "-0.89278", "0"
"Anacaena limbata", "Eurasia", "1", "1", "-0.89278", "0"
"Anacaena lutescens", "Eurasia", "1", "1", "-0.89278", "0"
"Anacaena sp.", "Eurasia", "1", "1", "-0.89278", "0"
"Anax", "Eurasia", "1", "1.66667", "-0.95986", "0"
"Anax imperator", "Eurasia", "1", "2", "-0.95986", "0"
"Anax parthenope", "Eurasia", "1", "2", "-0.95986", "0"
"Anax sp.", "Eurasia", "1", "1", "-0.95986", "0"
"Ancylidae", "Eurasia", "1", "1", "-1.23", "0"
"Ancylus", "Eurasia", "1", "1", "-1.23", "0"
"Ancylus fluviatilis", "Eurasia", "1", "1", "-1.23", "0"
"Ancylus sp.", "Eurasia", "1", "1", "-1.23", "0"
"Anisoptera", "Eurasia", "1", "1.715", "-0.95986", "0"
"Anisoptera", "West Siberia", "1", "1.77784", "-0.95986", "0"
"Anisoptera", "United Kingdom", "1", "1.6874", "-0.95986", "0"
"Anisus", "Eurasia", "1", "1", "-1.94", "0"
"Anisus leucostoma", "Eurasia", "1", "1", "-1.94", "0"
"Anisus sp.", "Eurasia", "1", "1", "-1.94", "0"
"Anisus vortex", "Eurasia", "1", "1", "-1.94", "0"
"Annitella", "Eurasia", "1", "1", "-0.05811", "0"
"Annitella obscurata", "Eurasia", "1", "1", "-0.05811", "0"
"Anodonta", "Eurasia", "1", "1", "-2.09", "0"
"Anodonta anatina", "Eurasia", "1", "1", "-2.09", "0"
"Anodonta cygnea", "Eurasia", "1", "1", "-2.09", "0"
"Anodonta sp.", "Eurasia", "1", "1", "-2.09", "0"
"Anomalopterygella", "Eurasia", "1", "1", "-0.05811", "0"
"Anomalopterygella chauvinia.", "Eurasia", "1", "1", "-0.05811", "0"
"Apatania", "West Siberia", "1", "2", "-0.05811", "0"
"Apatania sp.", "West Siberia", "1", "2", "-0.05811", "0"
"Apataniidae", "West Siberia", "1", "2", "-0.05811", "0"
"Aphanoneura", "Eurasia", "1", "0.5", "-1.1", "0"
"Aphelocheiridae", "Eurasia", "1", "1", "-0.56061", "0"
"Aphelocheirus", "Eurasia", "1", "1", "-0.56061", "0"
"Aphelocheirus aestivalis", "Eurasia", "1", "1", "-0.56061", "0"
"Aplexa", "Eurasia", "1", "1", "-1.63909", "0"
"Aplexa hypnorum", "Eurasia", "1", "1", "-1.63909", "0"
"Aquarius", "Eurasia", "1", "0.5", "-0.56061", "0"
"Aquarius paludum", "Eurasia", "1", "0.5", "-0.56061", "0"
"Arachnida", "Eurasia", "1", "1", "-1.63909", "0"
"Araneae", "Eurasia", "1", "1", "-1.63909", "0"
"Arctocorixa", "Eurasia", "0", "0.66667", "-0.29223", "0"
"Arctocorixa carinata", "Eurasia", "0", "0.5", "-0.29223", "0"
"Arctocorixa germari", "Eurasia", "0", "0.5", "-0.29223", "0"
"Arctocorixa sp.", "Eurasia", "0", "1", "-0.29223", "0"
"Arcynopteryx", "West Siberia", "1", "1", "0.37964", "0"
"Arcynopteryx altaica", "West Siberia", "1", "1", "0.37964", "0"
"Argulidae", "Eurasia", "1", "0.4", "0.04139", "0"
"Arguloidea", "Eurasia", "1", "0.4", "0.04139", "0"
"Argulus", "Eurasia", "1", "0.4", "0.04139", "0"
"Argulus foliaceus", "Eurasia", "1", "0.4", "0.04139", "0"
"Argyroneta", "Eurasia", "1", "1", "-1.63909", "0"
"Argyroneta aquatica", "Eurasia", "1", "1", "-1.63909", "0"
"Arhynchobdellida", "Eurasia", "1", "1", "-0.43282", "0"
"Armiger", "Eurasia", "1", "0.33", "-1.94", "0"
"Armiger crista", "Eurasia", "1", "0.33", "-1.94", "0"
"Asellidae", "Eurasia", "1", "0.462", "-0.47936", "0"
"Asellidae", "United Kingdom", "1", "0.596", "-0.47936", "0"
"Asellus", "United Kingdom", "1", "0.55333", "-0.42856", "0"
"Asellus", "Eurasia", "1", "0.33", "-0.42856", "0"
"Asellus aquaticus", "Eurasia", "1", "0.33", "-0.17455", "0"
"Asellus aquaticus", "United Kingdom", "1", "0.5", "-0.17455", "0"
"Asellus meridianus", "Eurasia", "1", "0.33", "-0.55556", "0"
"Asellus meridianus", "United Kingdom", "1", "0.66", "-0.55556", "0"
"Asellus sp.", "United Kingdom", "1", "0.5", "-0.55556", "0"
"Asellus sp.", "Eurasia", "1", "0.33", "-0.55556", "0"
"Assiminea", "Eurasia", "1", "1.7", "-1.81777", "0"
"Assiminea grayana", "Eurasia", "1", "1.7", "-1.81777", "0"
"Assimineidae", "Eurasia", "1", "1.7", "-1.81777", "0"
"Astacidae", "Eurasia", "1", "1", "-0.5704", "0"
"Athericidae", "Eurasia", "1", "0.6875", "-0.35", "0"
"Athericidae", "Eurasia", "1", "0.75", "-0.35", "0"
"Athericidae sp.", "Eurasia", "1", "0.75", "-0.35", "0"
"Atherix", "Eurasia", "1", "0.66667", "-0.35", "0"
"Atherix ibis", "Eurasia", "1", "1", "-0.35", "0"
"Atherix marginata", "Eurasia", "1", "0.5", "-0.35", "0"
"Atherix sp.", "Eurasia", "1", "0.5", "-0.35", "0"
"Athripsodes", "Eurasia", "1", "1", "-0.05811", "0"
"Athripsodes albifrons", "Eurasia", "1", "1", "-0.05811", "0"
"Athripsodes aterrimus", "Eurasia", "1", "1", "-0.05811", "0"
"Athripsodes bilineatus", "Eurasia", "1", "1", "-0.05811", "0"
"Athripsodes cinereus", "Eurasia", "1", "1", "-0.05811", "0"
"Athripsodes sp.", "Eurasia", "1", "1", "-0.05811", "0"
"Atrichops", "Eurasia", "1", "0.5", "-0.35", "0"
"Atrichops crassipes", "Eurasia", "1", "0.5", "-0.35", "0"
"Atyaephyra", "Eurasia", "1", "1", "-0.07765", "0"
"Atyaephyra desmaresti", "Eurasia", "1", "1", "-0.07765", "0"
"Atyidae", "Eurasia", "1", "1", "-0.07765", "0"
"Aulodrilus", "Eurasia", "1", "0.5", "-0.92863", "0"
"Aulodrilus pluriseta", "Eurasia", "1", "0.5", "-0.92863", "0"
"Austropotamobius", "Eurasia", "1", "1", "-0.5704", "0"
"Austropotamobius pallipes", "Eurasia", "1", "1", "-0.5704", "0"
"Baetidae", "Eurasia", "1", "0.60208", "-0.06711", "0"
"Baetidae", "Finland", "1", "0.61765", "-0.05778", "0"
"Baetidae", "United Kingdom", "1", "0.62296", "-0.06711", "0"
"Baetidae", "West Siberia", "1", "0.80523", "-0.0102", "0"
"Baetis", "Eurasia", "1", "0.64564", "0.02159", "0"
"Baetis", "United Kingdom", "1", "0.65934", "0.0142", "0"
"Baetis", "West Siberia", "1", "0.79558", "0.02159", "0"
"Baetis", "Finland", "1", "0.63351", "0.02159", "0"
"Baetis alpinus", "Eurasia", "1", "0.5", "0.02159", "0"
"Baetis bacillus", "West Siberia", "1", "1", "0.02159", "0"
"Baetis bicaudatus", "West Siberia", "1", "1", "0.02159", "0"
"Baetis buceratus", "Eurasia", "1", "0.5", "0.02159", "0"
"Baetis digitatus", "Eurasia", "1", "0.5", "0.02159", "0"
"Baetis feles", "West Siberia", "1", "0.80159", "0.02159", "0"
"Baetis fuscatus", "West Siberia", "1", "1", "0.02159", "0"
"Baetis fuscatus", "Eurasia", "1", "0.5", "0.02159", "0"
"Baetis muticus", "Eurasia", "1", "0.5", "0.02159", "0"
"Baetis niger", "Eurasia", "1", "0.5", "0.02159", "0"
"Baetis pseudothermicus", "West Siberia", "1", "0.80159", "0.02159", "0"
"Baetis rhodani", "Eurasia", "0", "0.5", "0.02159", "0"
"Baetis rhodany", "West Siberia", "1", "0.80159", "0.02159", "0"
"Baetis scambus", "Eurasia", "1", "2", "0.02159", "0"
"Baetis sibiricus", "West Siberia", "1", "0.80159", "0.02159", "0"
"Baetis sp.", "Eurasia", "1", "0.5", "0.02159", "0"
"Baetis subalpinus", "Finland", "1", "0.5", "0.02159", "0"
"Baetis tracheatus", "Eurasia", "1", "0.60208", "0.02159", "0"
"Baetis tricolor", "West Siberia", "1", "0.80159", "0.02159", "0"
"Baetis tuberculatus", "West Siberia", "1", "0.80159", "0.02159", "0"
"Baetis ursinus", "West Siberia", "1", "1", "0.02159", "0"
"Baetis vernus", "Eurasia", "1", "0.5", "0.02159", "0"
"Baetis vernus", "West Siberia", "1", "1", "0.02159", "0"
"Balanidae", "Eurasia", "1", "1", "-0.44421", "0"
"Balanus", "Eurasia", "1", "1", "-0.44421", "0"
"Balanus balanoides", "Eurasia", "1", "1", "-0.44421", "0"
"Balanus improvisus", "Eurasia", "1", "1", "-0.44421", "0"
"Balanus sp.", "Eurasia", "1", "1", "-0.44421", "0"
"Basommatophora", "United Kingdom", "1", "0.96021", "-1.36943", "0"
"Basommatophora", "Eurasia", "1", "0.93894", "-1.36943", "0"
"Bathyomphalus", "Eurasia", "1", "1", "-1.94", "0"
"Bathyomphalus contortus", "Eurasia", "1", "1", "-1.94", "0"
"Batracobdella", "Eurasia", "1", "1", "-0.59591", "0"
"Batracobdella paludosa", "Eurasia", "1", "1", "-0.59591", "0"
"Bdellocephala", "Eurasia", "1", "1", "-0.42961", "0"
"Bdellocephala punctata", "Eurasia", "1", "1", "-0.42961", "0"
"Beraea", "Eurasia", "1", "1", "-0.05811", "0"
"Beraea maurus", "United Kingdom", "1", "1", "-0.05811", "0"
"Beraea pullata", "Eurasia", "1", "1", "-0.05811", "0"
"Beraeidae", "Eurasia", "1", "1", "-0.05811", "0"
"Beraeodes", "Eurasia", "1", "1", "-0.05811", "0"
"Beraeodes minutus", "Eurasia", "1", "1", "-0.05811", "0"
"Berosus", "Eurasia", "1", "1", "-0.89278", "0"
"Berosus affinis", "Eurasia", "1", "1", "-0.89278", "0"
"Berosus bicolor", "Eurasia", "1", "1", "-0.89278", "0"
"Berosus luridus", "Eurasia", "1", "1", "-0.89278", "0"
"Berosus signaticollis", "Eurasia", "1", "1", "-0.89278", "0"
"Bezzia", "Eurasia", "1", "0.33", "-0.35", "0"
"Bezzia sp.", "Eurasia", "1", "0.33", "-0.35", "0"
"Bithynia", "Eurasia", "1", "1", "-1.81777", "0"
"Bithynia leachi", "Eurasia", "1", "1", "-1.81777", "0"
"Bithynia sp.", "Eurasia", "1", "1", "-1.81777", "0"
"Bithynia tentaculata", "Eurasia", "1", "1", "-1.81777", "0"
"Bithyniidae", "Eurasia", "1", "1", "-1.81777", "0"
"Bivalvia", "Eurasia", "1", "0.89583", "-2.09", "0"
"Blephariceridae", "Eurasia", "1", "1", "-0.46", "0"
"Blephariceridae", "Eurasia", "1", "1", "-0.46", "0"
"Blephariceridae sp.", "Eurasia", "1", "1", "-0.46", "0"
"Boreobdella", "Eurasia", "1", "1", "-0.59591", "0"
"Boreobdella verrucata", "Eurasia", "1", "1", "-0.59591", "0"
"Bosmina", "Eurasia", "1", "0.33", "0.17", "0"
"Bosmina sp.", "Eurasia", "1", "0.33", "0.17", "0"
"Bosminidae", "Eurasia", "1", "0.33", "0.17", "0"
"Brachycentridae", "Eurasia", "1", "1", "-0.05811", "0"
"Brachycentrus", "Eurasia", "1", "1", "-0.05811", "0"
"Brachycentrus americanus", "West Siberia", "1", "1", "-0.05811", "0"
"Brachycentrus maculatum", "Eurasia", "1", "1", "-0.05811", "0"
"Brachycentrus maculatus", "Eurasia", "1", "1", "-0.05811", "0"
"Brachycentrus subnubilus", "Eurasia", "1", "1", "-0.05811", "0"
"Brachycercus", "Eurasia", "1", "0.83333", "-0.29501", "0"
"Brachycercus harrisella", "Eurasia", "1", "1", "-0.29501", "0"
"Brachycercus harrisellus", "Eurasia", "1", "1", "-0.29501", "0"
"Brachycercus sp.", "Eurasia", "1", "0.5", "-0.29501", "0"
"Brachyptera", "Eurasia", "1", "1", "0.37964", "0"
"Brachyptera putata", "United Kingdom", "1", "1", "0.37964", "0"
"Brachyptera risi", "Eurasia", "1", "1", "0.37964", "0"
"Brachytron", "Eurasia", "1", "1", "-0.95986", "0"
"Brachytron", "United Kingdom", "1", "2", "-0.95986", "0"
"Brachytron pratense", "United Kingdom", "1", "2", "-0.95986", "0"
"Brachytron pratense", "Eurasia", "1", "1", "-0.95986", "0"
"Branchiopoda", "Eurasia", "1", "0.33", "0.17808", "0"
"Branchiura", "Eurasia", "1", "0.33333", "-0.92863", "0"
"Branchiura sowerbyi", "Eurasia", "1", "0.33333", "-0.92863", "0"
"Brillia", "Eurasia", "1", "0.4", "-0.38982", "0"
"Brillia longifurca", "Eurasia", "1", "0.4", "-0.38982", "0"
"Brychius", "Eurasia", "1", "1", "-1.83377", "0"
"Brychius elevatus", "Eurasia", "1", "1", "-1.83377", "0"
"Byrrhoidea", "Eurasia", "1", "2", "-1.14674", "0"
"Byrrhoidea", "Eurasia", "1", "2", "-1.14674", "0"
"Byrrhoidea", "Eurasia", "1", "2", "-1.14674", "0"
"Bythinella", "Eurasia", "1", "1", "-1.81777", "0"
"Bythinella sp.", "Eurasia", "1", "1", "-1.81777", "0"
"Caenidae", "United Kingdom", "1", "0.72727", "-0.29501", "0"
"Caenidae", "West Siberia", "1", "0.79371", "-0.29501", "0"
"Caenidae", "Eurasia", "1", "0.70909", "-0.29501", "0"
"Caenis", "United Kingdom", "1", "0.69192", "-0.29501", "0"
"Caenis", "Eurasia", "1", "0.6625", "-0.29501", "0"
"Caenis", "West Siberia", "1", "0.78182", "-0.29501", "0"
"Caenis beskidensis", "Eurasia", "1", "0.5", "-0.29501", "0"
"Caenis horaria", "Eurasia", "1", "0.5", "-0.29501", "0"
"Caenis horaria", "West Siberia", "1", "0.75455", "-0.29501", "0"
"Caenis lactea", "West Siberia", "1", "0.75455", "-0.29501", "0"
"Caenis luctuosa", "Eurasia", "1", "1", "-0.29501", "0"
"Caenis macrura", "Eurasia", "1", "0.5", "-0.29501", "0"
"Caenis miliaria", "West Siberia", "1", "0.75455", "-0.29501", "0"
"Caenis pseudorivulorum", "Eurasia", "1", "0.5", "-0.29501", "0"
"Caenis pseudorivulorum", "West Siberia", "1", "1", "-0.29501", "0"
"Caenis pusilla", "United Kingdom", "1", "0.72727", "-0.29501", "0"
"Caenis rivulorum", "Eurasia", "1", "1", "-0.29501", "0"
"Caenis robusta", "West Siberia", "1", "0.75455", "-0.29501", "0"
"Caenis robusta", "Eurasia", "1", "0.5", "-0.29501", "0"
"Caenis sp.", "Eurasia", "1", "0.8", "-0.29501", "0"
"Caenis sp.", "United Kingdom", "1", "1", "-0.29501", "0"
"Callicorixa", "Eurasia", "0", "0.5", "-0.29223", "0"
"Callicorixa praeusta", "Eurasia", "0", "0.5", "-0.29223", "0"
"Callicorixa wollastoni", "Eurasia", "0", "0.5", "-0.29223", "0"
"Calopterygidae", "Eurasia", "1", "1.77667", "-0.35634", "0"
"Calopterygidae", "United Kingdom", "1", "2", "-0.35634", "0"
"Calopteryx", "United Kingdom", "1", "2", "-0.35634", "0"
"Calopteryx", "Eurasia", "1", "1.77667", "-0.35634", "0"
"Calopteryx sp.", "Eurasia", "1", "1.33", "-0.35634", "0"
"Calopteryx sp.", "United Kingdom", "1", "2", "-0.35634", "0"
"Calopteryx splendens", "Eurasia", "1", "2", "-0.35634", "0"
"Calopteryx virgo", "Eurasia", "1", "2", "-0.35634", "0"
"Cambaridae", "Eurasia", "1", "2", "-0.5704", "0"
"Canalipalpata", "Eurasia", "1", "0.5", "-1.1", "0"
"Capnia", "Eurasia", "1", "1", "0.37964", "0"
"Capnia atra", "United Kingdom", "1", "1", "0.37964", "0"
"Capnia atra", "Finland", "1", "1", "0.37964", "0"
"Capnia bifrons", "Eurasia", "1", "1", "0.37964", "0"
"Capnia sp.", "Eurasia", "1", "1", "0.37964", "0"
"Capnia vidua", "United Kingdom", "1", "1", "0.37964", "0"
"Capniidae", "Eurasia", "1", "1", "0.37964", "0"
"Carcinus", "Eurasia", "1", "1", "-0.07765", "0"
"Carcinus maenas", "Eurasia", "1", "1", "-0.07765", "0"
"Centroptilum", "Eurasia", "1", "0.5", "-0.25068", "0"
"Centroptilum luteolum", "Eurasia", "1", "0.5", "-0.25068", "0"
"Ceraclea", "Eurasia", "1", "1", "-0.05811", "0"
"Ceraclea albimacula", "Eurasia", "1", "1", "-0.05811", "0"
"Ceraclea alboguttata", "West Siberia", "1", "1", "-0.05811", "0"
"Ceraclea dissimilis", "Eurasia", "1", "1", "-0.05811", "0"
"Ceraclea excisa", "West Siberia", "1", "1", "-0.05811", "0"
"Ceraclea nigronervosa", "Eurasia", "1", "1", "-0.05811", "0"
"Ceraclea senilis", "Eurasia", "1", "1", "-0.05811", "0"
"Ceraclea sp.", "Eurasia", "1", "1", "-0.05811", "0"
"Ceratopogonidae", "Eurasia", "1", "0.33", "-0.35", "0"
"Ceratopogonidae", "Eurasia", "1", "0.33", "-0.35", "0"
"Ceratopogonidae sp.", "Eurasia", "1", "0.33", "-0.35", "0"
"Ceratopsyche", "West Siberia", "1", "1", "-1.02724", "0"
"Ceratopsyche kozhantshikovi", "West Siberia", "1", "1", "-1.02724", "0"
"Ceratopsyche nevae", "West Siberia", "1", "1", "-1.02724", "0"
"Ceratopsyche valvata", "West Siberia", "1", "1", "-1.02724", "0"
"Cercyon", "Eurasia", "1", "1", "-0.89278", "0"
"Cercyon bifenestratus", "Eurasia", "1", "1", "-0.89278", "0"
"Cercyon convexiusculus", "Eurasia", "1", "1", "-0.89278", "0"
"Cercyon granarius", "Eurasia", "1", "1", "-0.89278", "0"
"Cercyon marinus", "Eurasia", "1", "1", "-0.89278", "0"
"Cercyon sp.", "Eurasia", "1", "1", "-0.89278", "0"
"Cercyon sternalis", "Eurasia", "1", "1", "-0.89278", "0"
"Cercyon tristis", "Eurasia", "1", "1", "-0.89278", "0"
"Cercyon ustulatus", "Eurasia", "1", "1", "-0.89278", "0"
"Ceriagrion", "Eurasia", "1", "1", "-0.23577", "0"
"Ceriagrion tenellum", "Eurasia", "1", "1", "-0.23577", "0"
"Chaetarthria", "Eurasia", "1", "1", "-0.89278", "0"
"Chaetarthria seminulum", "Eurasia", "1", "1", "-0.89278", "0"
"Chaetogaster", "Eurasia", "1", "0.5", "-1.09947", "0"
"Chaetogaster diaphanus", "Eurasia", "1", "0.5", "-1.09947", "0"
"Chaetogaster diastrophus", "Eurasia", "1", "0.5", "-1.09947", "0"
"Chaetogaster langi", "Eurasia", "1", "0.5", "-1.09947", "0"
"Chaetopterygini", "Eurasia", "1", "1", "-0.05811", "0"
"Chaetopterygini sp.", "Eurasia", "1", "1", "-0.05811", "0"
"Chaetopteryx", "Eurasia", "1", "1", "-0.05811", "0"
"Chaetopteryx major", "Eurasia", "1", "1", "-0.05811", "0"
"Chaetopteryx sp.", "Eurasia", "1", "1", "-0.05811", "0"
"Chaetopteryx villosa", "Eurasia", "1", "1", "-0.05811", "0"
"Chalcolestes", "Eurasia", "1", "1", "-0.67788", "0"
"Chalcolestes viridis", "Eurasia", "1", "1", "-0.67788", "0"
"Chaoboridae", "Eurasia", "1", "0.5", "-0.35", "0"
"Chaoboridae", "Eurasia", "1", "0.5", "-0.35", "0"
"Chaoboridae sp.", "Eurasia", "1", "0.5", "-0.35", "0"
"Chaoborus", "Eurasia", "1", "0.5", "-0.35", "0"
"Chaoborus sp.", "Eurasia", "1", "0.5", "-0.35", "0"
"Cheumatopsyche", "West Siberia", "1", "1", "-0.76362", "0"
"Cheumatopsyche", "Eurasia", "1", "1", "-1.02724", "0"
"Cheumatopsyche infascia", "West Siberia", "1", "1", "-0.5", "0"
"Cheumatopsyche lepida", "Eurasia", "1", "1", "-1.02724", "0"
"Chimarra", "United Kingdom", "1", "1", "-0.05811", "0"
"Chimarra marginata", "United Kingdom", "1", "1", "-0.05811", "0"
"Chironomidae", "Eurasia", "1", "0.33333", "-0.38982", "0"
"Chironomidae", "Eurasia", "1", "0.4", "-0.3858", "0"
"Chironomidae sp.", "Eurasia", "1", "0.33333", "-0.38982", "0"
"Chironomidae sp. rot", "Eurasia", "1", "0.33333", "-0.38982", "0"
"Chironomidae sp. weiÃ", "Eurasia", "1", "0.33333", "-0.38982", "0"
"Chironominae", "Eurasia", "1", "0.4", "-0.38982", "0"
"Chironominae", "Eurasia", "1", "0.4", "-0.38982", "0"
"Chironomini", "Eurasia", "1", "0.33333", "-0.38982", "0"
"Chironomini sp.", "Eurasia", "1", "0.33333", "-0.38982", "0"
"Chironomus", "Eurasia", "1", "0.38889", "-0.33356", "0"
"Chironomus plumosus-Gruppe", "Eurasia", "1", "0.5", "-0.33356", "0"
"Chironomus sp.", "Eurasia", "1", "0.33333", "-0.33356", "0"
